Title,Link,Author
Wield the Twin Fates in the Nighty Night Update for Hades,http://www.gamepedia.com/news/2091-wield-the-twin-fates-in-the-nighty-night-update,OSWguild
"Leave the Forest Behind, but not the Feels, in Ori and the Will of the Wisps",http://www.gamepedia.com/news/2090-leave-the-forest-behind-but-not-the-feels-in-ori,TypicallyBZD
The Dark Heart of Skyrim: The Adventure Begins with Harrowstorm,http://www.gamepedia.com/news/2089-the-dark-heart-of-skyrim-the-adventure-begins-with,Tagaziel
Crowdfunding Not Dead: Things to Watch Out for this Year!,http://www.gamepedia.com/blogs/2082-crowdfunding-not-dead-things-to-watch-out-for-this,Tagaziel
The Division 2: Warlords of New York Launches for Agents Keen to Liberate Their Old Stomping Grounds,http://www.gamepedia.com/news/2088-the-division-2-warlords-of-new-york-launches-for,TypicallyBZD
It’s Time to Return to the Forgotten Realms for Baldur’s Gate 3,http://www.gamepedia.com/news/2087-its-time-to-return-to-the-forgotten-realms-for,TypicallyBZD
One Punch Man One Punches His Way into Fighting Games,http://www.gamepedia.com/news/2086-one-punch-man-one-punches-his-way-into-fighting,Tagaziel
Prepare to face your fears in Path of Exile: Delirium,http://www.gamepedia.com/news/2084-prepare-to-face-your-fears-in-path-of-exile,comradekoch
Dystopian RPG Mobile Arknights Launches its Major Storyline Update - Necessary Solutions,http://www.gamepedia.com/news/2085-dystopian-rpg-mobile-arknights-launches-its-major,Khalija
Mists of Noyah Blends Beat Em Ups and Base Builders to Interesting Effect,http://www.gamepedia.com/news/2081-mists-of-noyah-blends-beat-em-ups-and-base,Jarrettjawn
"Weekly Official Wiki Roundup: Blazing Sails, Zombie Army, Mists of Noyah, And More",http://www.gamepedia.com/blogs/2083-weekly-official-wiki-roundup-blazing-sails-zombie,OSWguild
"Explore, Capture, and Adapt as You Fight Alongside Powerful Creatures in Adore",http://www.gamepedia.com/news/2079-explore-capture-and-adapt-as-you-fight-alongside,TypicallyBZD
Sneak Around in a Dystopian America with Corruption 2029,http://www.gamepedia.com/news/2080-sneak-around-in-a-dystopian-america-with,OSWguild
Street Fighter V: Champion Edition is the Perfect Way to Get Back into Street Fighter,http://www.gamepedia.com/news/2078-street-fighter-v-champion-edition-is-the-perfect,Jarrettjawn
"Weekly Official Wiki Roundup: Danger Gazers, Artiana, Star Dynasties, and More",http://www.gamepedia.com/blogs/2077-weekly-official-wiki-roundup-danger-gazers-artiana,OSWguild
Unite the Gelfling Tribes in The Dark Crystal: Age of Resistance Tactics,http://www.gamepedia.com/news/2076-unite-the-gelfling-tribes-in-the-dark-crystal-age,OSWguild
Rebellion Strikes Back with Zombie Army 4: Dead War!,http://www.gamepedia.com/news/2075-rebellion-strikes-back-with-zombie-army-4-dead-war,Tagaziel
Not for Broadcast is a Crucible of Propaganda,http://www.gamepedia.com/news/2073-not-for-broadcast-is-a-crucible-of-propaganda,Jarrettjawn
Revisit Azeroth in Warcraft III: Reforged,http://www.gamepedia.com/news/2072-revisit-azeroth-in-warcraft-iii-reforged,OSWguild
Survive New Orleans in VR with The Walking Dead: Saints & Sinners,http://www.gamepedia.com/news/2071-survive-new-orleans-in-vr-with-the-walking-dead,OSWguild
Feel the Chill of Winter in The Latest Update for Hades,http://www.gamepedia.com/news/2070-feel-the-chill-of-winter-in-the-latest-update-for,OSWguild
